"","Type","Stat","Avg_MSE"
"1","RS_sm","L_inf",216.636753566518
"2","RS_sm","RCD",0.0108034088500912
"3","RS_sm","k",0.000211242193364455
"4","RS_la","L_inf",116.54459805529
"5","RS_la","RCD",0.00860985668795933
"6","RS_la","k",0.00010221894758212
"7","ALK.WI_sm","L_inf",421.406227954765
"8","ALK.WI_sm","RCD",0.0201909519908927
"9","ALK.WI_sm","k",0.00678514386506508
"10","ALK.WI_la","L_inf",92.9307050888899
"11","ALK.WI_la","RCD",0.0177834165067183
"12","ALK.WI_la","k",0.00721555074764435
"13","ALK.100_sm","L_inf",78.4567611111179
"14","ALK.100_sm","RCD",0.0107422809451839
"15","ALK.100_sm","k",0.000236938344001258
"16","ALK.100_la","L_inf",37.479848845693
"17","ALK.100_la","RCD",0.0104185763028601
"18","ALK.100_la","k",0.000122759244097066
