"Stat","RS_Sm","TP_Sm","RS_Me","TP_Me","RS_La","TP_La"
"Perc_Conv",97.27,97.41,97.46,97.598,99.522,99.57
"M.L_inf",174.914048034718,162.599977342504,86.2523684204979,87.2852028902022,34.9312390570649,44.904950065407
"M.k",0.000554757193375239,0.000512952907847807,0.000340096641015787,0.000343054049516191,0.000138076198670196,0.000138059947337751
"F.L_inf",252.082012310852,201.981880045881,118.394378872941,118.182431600656,47.364823009591,78.6264129261512
"F.k",0.000316467750245171,0.000297025756500092,0.000571467467210508,0.000585986926930062,6.80239013040119e-05,7.48032740609125e-05
"Med_Age",146.32632,141.445,102.133,104.39405,42.09548,51.90363
"Percent_F",41.5441603066257,36.8578304121822,20.7972126282352,20.6444758529624,8.33528592921499,10.8737396853568
