"Rho","SD","LB_95","UB_95"
70,1.28462066395113,1.23068246000655,1.34354024982339
75,1.21792902137239,1.16679104283267,1.27378977122235
80,1.17752040504796,1.12807908938281,1.23152779926826
85,1.16477313089135,1.1158670433231,1.21819586682662
90,1.2067833592141,1.15611336084586,1.26213290928574
95,1.06047364623283,1.01594684901284,1.10911264902786
100,1.11320178683751,1.06646105885853,1.16425918464628
105,0.98007731917005,0.938926174862391,1.02502891569091
110,0.899148607416048,0.861395469603267,0.940388379648595
115,0.97467994798344,0.933755426612807,1.01938399214582
120,0.976311520050944,0.935318492801963,1.02109039684932
125,0.894241252357225,0.856694162855372,0.935255946996123
130,0.881824026443833,0.844798307088466,0.922269200578328
135,0.837041449623845,0.801896045469272,0.875432654867314
140,0.868391532578395,0.831929812085829,0.908220620581013
145,0.888339404111343,0.851040119353155,0.929083408371139
150,0.873960987577711,0.83726541875307,0.914045520624382
155,0.821656174363017,0.787156761774708,0.85934172845799
160,0.859037656739037,0.82296868351954,0.898437725883232
165,0.772522194205798,0.740085802022421,0.807954200740501
170,0.788936893180577,0.755811286347432,0.82512176575033
175,0.76630491530671,0.73412957205914,0.801451764122666
180,0.721482180331945,0.69118883843175,0.754573218388753
185,0.77045528835316,0.738105680691116,0.805792495512225
190,0.708752481533631,0.678993629782322,0.741259667405493
195,0.757788884844581,0.725971109710895,0.792545142879785
200,0.779616284816801,0.746882028433576,0.815373664352788
