"Stat","RS_Sm","TP_Sm","RS_Me","TP_Me","RS_La","TP_La"
"Perc_Conv",99.942,99.962,100,100,100,100
"M.L_inf",339.845844669182,317.963059403288,165.173681184419,163.507941879842,62.2232587267805,75.9178732946023
"M.k",0.000322085211737737,0.000322390769719819,0.000112436450418707,0.000111333187316066,4.7542396882429e-05,5.10433921582224e-05
"F.L_inf",272.785281229726,218.148232825018,131.78690200664,132.157568515354,52.1964651360795,83.1736601114791
"F.k",0.000111607303359391,9.71383101783492e-05,4.59212368168814e-05,4.62261610619219e-05,1.88306204730384e-05,2.42257845942232e-05
"Med_Age",19.27227,16.69222,10.9033,10.87942,4.07762,5.75778
"Percent_F",38.8432666164656,36.9116807222508,19.2724206110708,19.4908897406464,7.75024361262781,8.66959889877567
