"","Stat","RS_Sm","TP_Sm","RS_Me","TP_Me","RS_La","TP_La"
"1","Perc_Conv",98.378,98.384,99.238,99.26,100,100
"2","M.L_inf",149.483040565705,127.913874805247,71.20107348626,72.0749367438403,28.1274442996525,41.7168795959376
"3","M.k",0.00156004551061883,0.00154725807471192,0.00126487093207673,0.00118155428368887,0.000186760118734419,0.00020596046037742
"4","F.L_inf",224.629455656519,173.548640830522,109.652580385621,111.387774361613,44.2127166352703,74.4835849134476
"5","F.k",0.000511275915084026,0.000479498585254651,0.000194838763859843,0.000198980773685563,6.23196373136266e-05,7.27702314296817e-05
"6","Med_Age",54.63945,52.24865,20.06999,20.12391,11.00279,12.48469
"7","Percent_F",41.6943191644201,37.8717738929065,20.3231083422201,20.5340235478107,8.3431352249824,10.7772522491595
